,level_0,index,frame,x,y,event,player,height,bounce
236,236,255,72642,604,138,bounce,player_B,,left
237,237,256,72702,878,230,net,player_A,0.14,
238,238,257,72712,1181,184,bounce,player_A,,left
239,239,259,73304,1206,139,bounce,player_B,,left
240,240,260,73326,887,227,net,player_B,0.13,
241,241,261,73426,899,242,net,player_A,0.18,
242,242,262,73440,1203,186,bounce,player_A,,left
243,243,263,73478,905,236,net,player_B,0.16,
244,244,264,73492,582,127,bounce,player_B,,left
245,245,265,73550,881,235,net,player_A,0.15,
246,246,266,73561,1145,182,bounce,player_A,,left
247,247,267,73599,896,250,net,player_B,0.21,
248,248,268,73613,574,142,bounce,player_B,,left
249,249,269,73667,886,241,net,player_A,0.18,
250,250,270,73677,1166,188,bounce,player_A,,left
251,251,272,73712,891,257,net,player_B,0.23,
252,252,273,73727,534,143,bounce,player_B,,left
253,253,274,73778,876,232,net,player_A,0.14,
254,254,275,73787,1153,180,bounce,player_A,,left
255,255,276,73823,906,238,net,player_B,0.16,
256,256,277,73836,598,140,bounce,player_B,,left
257,257,278,73889,887,240,net,player_A,0.17,
258,258,279,73898,1144,194,bounce,player_A,,left
259,259,281,73932,894,272,net,player_B,0.28,
260,260,282,73950,441,120,bounce,player_B,,left
261,261,283,75212,1226,128,bounce,player_B,,left
262,262,284,75234,891,234,net,player_B,0.15,
263,263,285,75256,656,197,bounce,player_B,,right
264,264,286,75297,883,226,net,player_A,0.12,
265,265,287,75308,1089,145,bounce,player_A,,right
266,266,288,75346,893,254,net,player_B,0.22,
267,267,289,75362,637,209,bounce,player_B,,right
268,268,290,75396,888,244,net,player_A,0.19,
269,269,291,75411,1178,134,bounce,player_A,,right
270,270,293,75441,902,259,net,player_B,0.24,
271,271,294,75460,582,210,bounce,player_B,,right
272,272,296,75491,899,238,net,player_A,0.16,
273,273,297,75505,1180,136,bounce,player_A,,right
274,274,298,75536,894,247,net,player_B,0.2,
275,275,299,75552,609,202,bounce,player_B,,right
276,276,301,75583,888,231,net,player_A,0.14,
277,277,302,75596,1176,130,bounce,player_A,,right
278,278,304,75626,896,253,net,player_B,0.22,
279,279,305,75644,574,207,bounce,player_B,,right
280,280,307,75674,892,231,net,player_A,0.14,
281,281,308,75687,1178,135,bounce,player_A,,right
282,282,310,75718,882,232,net,player_B,0.14,
283,283,311,75731,637,197,bounce,player_B,,right
284,284,312,75764,886,224,net,player_A,0.12,
285,285,313,75775,1146,146,bounce,player_A,,right
286,286,314,75811,892,245,net,player_B,0.19,
287,287,315,75824,684,207,bounce,player_B,,right
288,288,316,77046,1210,121,bounce,player_B,,left
289,289,317,77066,887,231,net,player_B,0.14,
290,290,318,77090,621,197,bounce,player_B,,right
291,291,319,77127,889,241,net,player_A,0.18,
292,292,320,77143,1182,119,bounce,player_A,,right
293,293,321,77175,888,221,net,player_B,0.11,
294,294,322,77186,655,187,bounce,player_B,,right
295,295,323,77230,907,254,net,player_A,0.22,
296,296,324,77246,1200,119,bounce,player_A,,right
297,297,326,77275,897,240,net,player_B,0.17,
298,298,327,77290,594,196,bounce,player_B,,right
299,299,329,77326,900,267,net,player_A,0.27,
300,300,330,77345,1303,120,bounce,player_A,,right
301,301,331,77372,891,255,net,player_B,0.22,
302,302,332,77389,536,206,bounce,player_B,,right
303,303,334,77421,895,270,net,player_A,0.28,
304,304,335,77442,1353,120,bounce,player_A,,right
305,305,337,77469,891,252,net,player_B,0.21,
306,306,338,77485,568,204,bounce,player_B,,right
307,307,340,77518,905,262,net,player_A,0.25,
308,308,341,77537,1330,130,bounce,player_A,,right
309,309,343,77566,905,264,net,player_B,0.25,
310,310,344,77584,554,199,bounce,player_B,,right
311,311,346,77618,884,256,net,player_A,0.23,
312,312,347,77636,1302,120,bounce,player_A,,right
313,313,349,77664,887,243,net,player_B,0.18,
314,314,350,77677,620,199,bounce,player_B,,right
315,315,352,77714,907,256,net,player_A,0.23,
316,316,353,77731,1274,118,bounce,player_A,,right
317,317,355,77761,900,267,net,player_B,0.27,
318,318,356,77780,567,207,bounce,player_B,,right
319,319,358,77813,901,270,net,player_A,0.28,
320,320,359,77832,1299,135,bounce,player_A,,right
321,321,361,77862,910,264,net,player_B,0.25,
322,322,362,77878,596,210,bounce,player_B,,right
323,323,364,77911,909,263,net,player_A,0.25,
324,324,365,77930,1320,108,bounce,player_A,,right
325,325,367,77955,906,267,net,player_A,0.27,
326,326,368,79069,569,210,bounce,player_A,,left
327,327,369,79091,893,245,net,player_A,0.19,
328,328,370,79114,1246,134,bounce,player_A,,right
329,329,371,79152,895,263,net,player_B,0.25,
330,330,372,79170,643,199,bounce,player_B,,right
331,331,373,79225,893,239,net,player_A,0.17,
332,332,374,79236,1113,144,bounce,player_A,,right
333,333,375,79276,909,258,net,player_B,0.23,
334,334,376,79291,659,199,bounce,player_B,,right
