,sequence,frame,x,y,player
149,4,9295,640,234,player_B
150,4,9296,633,237,player_B
151,4,9297,626,239,player_B
152,4,9298,618,242,player_B
153,4,9299,612,244,player_B
154,5,9340,874,254,player_A
155,5,9341,884,250,player_A
156,5,9342,894,248,player_A
157,5,9343,905,244,player_A
158,5,9344,915,240,player_A
159,5,9345,925,237,player_A
160,5,9346,935,233,player_A
161,5,9347,946,228,player_A
162,5,9348,955,223,player_A
163,5,9349,966,219,player_A
164,5,9350,976,215,player_A
165,5,9351,986,210,player_A
166,5,9352,996,204,player_A
167,5,9353,1006,199,player_A
168,5,9354,1016,194,player_A
169,5,9355,1026,188,player_A
170,5,9356,1036,182,player_A
171,5,9357,1046,176,player_A
172,5,9358,1054,176,player_A
173,5,9359,1062,180,player_A
174,5,9360,1069,184,player_A
175,5,9361,1077,188,player_A
176,5,9362,1085,191,player_A
177,5,9363,1092,194,player_A
178,5,9364,1099,197,player_A
179,5,9365,1106,199,player_A
180,5,9366,1114,202,player_A
181,5,9367,1122,204,player_A
182,5,9368,1130,206,player_A
183,5,9369,1137,208,player_A
184,6,10459,1313,206,player_B
185,6,10460,1290,202,player_B
186,6,10461,1269,198,player_B
187,6,10462,1249,194,player_B
188,6,10463,1229,191,player_B
189,6,10464,1211,196,player_B
190,6,10465,1195,202,player_B
191,6,10466,1177,208,player_B
192,6,10467,1160,213,player_B
193,6,10468,1143,218,player_B
194,6,10469,1127,222,player_B
195,6,10470,1111,227,player_B
196,6,10471,1094,231,player_B
197,6,10472,1079,235,player_B
198,6,10473,1062,239,player_B
199,6,10474,1047,241,player_B
200,6,10475,1031,245,player_B
201,6,10481,938,257,player_B
202,6,10482,924,258,player_B
203,6,10483,909,259,player_B
204,6,10484,894,260,player_B
205,6,10485,880,259,player_B
206,6,10486,865,260,player_B
207,6,10487,852,260,player_B
208,6,10488,837,259,player_B
209,6,10489,823,259,player_B
210,6,10490,809,258,player_B
211,6,10491,795,257,player_B
212,6,10492,781,255,player_B
213,6,10493,768,254,player_B
214,6,10494,755,252,player_B
215,6,10495,741,250,player_B
216,6,10496,728,248,player_B
217,6,10503,640,225,player_B
218,6,10504,629,222,player_B
219,6,10505,617,218,player_B
220,6,10506,605,213,player_B
221,6,10507,593,215,player_B
222,6,10508,583,219,player_B
223,6,10509,572,222,player_B
224,6,10510,561,226,player_B
225,6,10511,551,230,player_B
226,6,10512,541,233,player_B
227,6,10513,530,236,player_B
228,6,10514,519,239,player_B
229,6,10515,509,242,player_B
230,6,10516,501,244,player_B
231,6,10517,489,246,player_B
232,6,10518,480,248,player_B
233,7,12325,593,225,player_A
234,7,12326,608,220,player_A
235,7,12327,623,215,player_A
236,7,12328,637,210,player_A
237,7,12329,648,213,player_A
238,7,12330,659,217,player_A
239,7,12331,671,220,player_A
240,7,12332,682,223,player_A
241,7,12333,694,226,player_A
242,7,12334,705,228,player_A
243,7,12335,716,231,player_A
244,7,12336,728,233,player_A
245,7,12337,739,235,player_A
246,7,12338,750,237,player_A
247,7,12339,762,238,player_A
248,7,12340,774,239,player_A
249,7,12348,865,241,player_A
250,7,12349,876,239,player_A
251,7,12350,887,238,player_A
252,7,12351,899,237,player_A
253,7,12352,910,235,player_A
254,7,12353,922,233,player_A
255,7,12354,933,231,player_A
256,7,12355,945,228,player_A
257,7,12356,956,225,player_A
258,7,12357,967,222,player_A
259,7,12358,979,219,player_A
260,7,12359,990,215,player_A
261,7,12360,1001,212,player_A
262,7,12361,1012,208,player_A
263,7,12362,1023,204,player_A
264,7,12363,1035,198,player_A
265,7,12367,1079,178,player_A
266,7,12368,1090,173,player_A
267,7,12369,1101,167,player_A
268,7,12370,1112,165,player_A
269,7,12371,1121,169,player_A
270,7,12372,1131,172,player_A
271,7,12373,1141,175,player_A
272,7,12374,1150,177,player_A
273,7,12375,1161,179,player_A
274,7,12376,1170,181,player_A
275,7,12377,1180,183,player_A
276,7,12378,1190,185,player_A
277,7,12379,1200,186,player_A
278,7,12380,1210,187,player_A
279,7,12381,1220,188,player_A
280,7,12382,1229,188,player_A
281,8,14175,866,255,player_A
282,8,14176,877,253,player_A
283,8,14177,888,251,player_A
284,8,14178,897,249,player_A
285,8,14179,907,247,player_A
286,8,14180,918,244,player_A
287,8,14181,928,241,player_A
288,8,14182,938,239,player_A
289,8,14183,948,235,player_A
290,8,14184,958,232,player_A
291,8,14185,968,228,player_A
292,8,14186,978,224,player_A
293,8,14187,988,220,player_A
294,8,14188,998,215,player_A
295,8,14189,1007,211,player_A
296,8,14190,1018,205,player_A
297,8,14195,1067,176,player_A
298,8,14196,1076,170,player_A
299,8,14197,1086,163,player_A
300,8,14198,1096,158,player_A
301,8,14199,1107,163,player_A
302,8,14200,1116,166,player_A
303,8,14201,1127,170,player_A
304,8,14202,1137,174,player_A
305,8,14203,1147,177,player_A
306,8,14204,1157,180,player_A
307,8,14205,1167,183,player_A
308,8,14206,1178,186,player_A
309,8,14207,1188,188,player_A
310,8,14208,1199,190,player_A
311,8,14209,1209,192,player_A
312,8,14210,1219,193,player_A
313,9,14233,954,210,player_B
314,9,14234,927,208,player_B
315,9,14235,901,206,player_B
316,9,14236,876,204,player_B
317,9,14237,850,202,player_B
318,9,14238,825,198,player_B
319,9,14239,800,195,player_B
320,9,14240,777,191,player_B
321,9,14241,753,188,player_B
322,9,14242,729,184,player_B
323,9,14243,706,179,player_B
324,9,14244,683,174,player_B
325,9,14245,661,169,player_B
326,9,14246,638,163,player_B
327,9,14247,617,158,player_B
328,9,14248,596,152,player_B
329,9,14249,575,147,player_B
330,9,14250,556,151,player_B
331,9,14251,538,158,player_B
332,9,14252,521,164,player_B
333,9,14253,503,170,player_B
334,9,14254,486,175,player_B
335,9,14255,469,180,player_B
336,9,14256,451,184,player_B
337,9,14257,434,189,player_B
338,9,14258,417,192,player_B
339,9,14259,399,196,player_B
340,9,14260,382,199,player_B
341,10,14301,793,235,player_A
342,10,14302,824,231,player_A
343,10,14303,854,227,player_A
344,10,14304,886,222,player_A
345,10,14305,914,218,player_A
346,10,14306,944,211,player_A
347,10,14307,974,205,player_A
348,10,14308,1001,199,player_A
349,10,14309,1028,193,player_A
350,10,14310,1055,186,player_A
351,10,14311,1080,178,player_A
352,10,14312,1106,171,player_A
353,10,14313,1131,163,player_A
354,10,14314,1157,156,player_A
355,10,14315,1185,164,player_A
356,10,14316,1214,173,player_A
357,10,14317,1241,180,player_A
358,10,14318,1269,188,player_A
359,10,14319,1294,195,player_A
360,10,14320,1323,203,player_A
361,10,14321,1348,208,player_A
362,10,14322,1375,215,player_A
363,10,14323,1400,219,player_A
364,10,14324,1425,223,player_A
365,10,14325,1448,227,player_A
366,10,14326,1473,231,player_A
367,11,14348,974,313,player_B
368,11,14349,955,313,player_B
369,11,14350,934,312,player_B
370,11,14351,913,311,player_B
371,11,14352,894,311,player_B
372,11,14353,874,309,player_B
373,11,14354,856,308,player_B
374,11,14355,836,305,player_B
375,11,14356,819,303,player_B
376,11,14357,801,300,player_B
377,11,14358,783,297,player_B
378,11,14359,766,294,player_B
379,11,14360,749,290,player_B
380,11,14361,733,287,player_B
381,11,14362,716,283,player_B
382,11,14363,701,279,player_B
383,11,14371,583,239,player_B
384,11,14372,571,233,player_B
385,11,14373,558,226,player_B
386,11,14374,546,221,player_B
387,11,14375,531,224,player_B
388,11,14376,517,231,player_B
389,11,14377,502,238,player_B
390,11,14378,487,245,player_B
391,11,14379,474,252,player_B
392,11,14380,461,258,player_B
393,11,14381,447,264,player_B
394,11,14382,434,270,player_B
395,11,14383,427,274,player_B
396,11,14384,440,278,player_B
397,11,14385,456,282,player_B
398,11,14386,478,285,player_B
399,11,14387,500,288,player_B
400,12,14403,838,286,player_A
401,12,14404,860,283,player_A
402,12,14405,879,280,player_A
403,12,14406,901,276,player_A
404,12,14407,922,273,player_A
405,12,14408,942,267,player_A
406,12,14409,965,263,player_A
407,12,14410,984,258,player_A
408,12,14411,1005,252,player_A
409,12,14412,1025,246,player_A
410,12,14413,1046,240,player_A
411,12,14414,1067,233,player_A
412,12,14415,1086,226,player_A
413,12,14416,1106,219,player_A
414,12,14417,1125,212,player_A
415,12,14418,1146,204,player_A
416,12,14419,1166,196,player_A
417,12,14420,1186,187,player_A
418,12,14421,1204,179,player_A
419,12,14422,1223,170,player_A
420,12,14423,1242,167,player_A
421,12,14424,1261,172,player_A
422,12,14425,1278,178,player_A
423,12,14426,1295,183,player_A
424,12,14427,1313,188,player_A
425,12,14428,1329,192,player_A
426,12,14429,1347,196,player_A
427,12,14430,1368,201,player_A
428,12,14431,1383,205,player_A
429,12,14432,1399,208,player_A
430,12,14433,1418,211,player_A
431,12,14434,1434,213,player_A
432,13,14482,1008,262,player_B
433,13,14483,976,259,player_B
434,13,14484,943,255,player_B
435,13,14485,915,252,player_B
436,13,14486,882,246,player_B
437,13,14487,852,241,player_B
438,13,14488,824,236,player_B
439,13,14489,796,231,player_B
440,13,14490,768,224,player_B
441,13,14491,743,219,player_B
442,13,14492,716,211,player_B
443,13,14493,691,204,player_B
444,13,14494,666,196,player_B
445,13,14495,642,189,player_B
446,13,14496,617,186,player_B
447,13,14497,589,196,player_B
448,13,14498,562,205,player_B
449,13,14499,536,214,player_B
450,13,14500,508,223,player_B
451,13,14501,482,230,player_B
452,13,14502,458,237,player_B
453,13,14503,433,245,player_B
454,13,14504,410,249,player_B
455,13,14505,393,255,player_B
456,13,14506,410,261,player_B
457,13,14507,433,264,player_B
458,13,14508,458,268,player_B
459,13,14509,481,270,player_B
460,14,14523,830,273,player_A
461,14,14524,855,271,player_A
462,14,14525,878,268,player_A
463,14,14526,903,265,player_A
464,14,14527,927,262,player_A
465,14,14528,952,257,player_A
466,14,14529,975,254,player_A
467,14,14530,999,249,player_A
468,14,14531,1023,244,player_A
469,14,14532,1047,239,player_A
470,14,14533,1070,233,player_A
471,14,14534,1093,228,player_A
472,14,14535,1116,222,player_A
473,14,14536,1139,216,player_A
474,14,14537,1161,209,player_A
475,14,14538,1185,202,player_A
476,14,14542,1270,172,player_A
477,14,14543,1291,164,player_A
478,14,14544,1312,155,player_A
479,14,14545,1332,147,player_A
480,14,14546,1353,150,player_A
481,14,14547,1375,157,player_A
482,14,14548,1396,163,player_A
483,14,14549,1416,169,player_A
484,14,14550,1437,174,player_A
485,14,14551,1458,180,player_A
486,14,14552,1479,184,player_A
487,14,14553,1499,189,player_A
488,14,14554,1519,192,player_A
489,14,14555,1539,196,player_A
490,14,14556,1560,200,player_A
491,14,14557,1579,203,player_A
492,15,14605,988,282,player_B
493,15,14606,963,278,player_B
494,15,14607,937,272,player_B
495,15,14608,913,267,player_B
496,15,14609,890,262,player_B
497,15,14610,866,255,player_B
498,15,14611,842,248,player_B
499,15,14612,820,241,player_B
500,15,14613,799,234,player_B
501,15,14614,777,227,player_B
502,15,14615,756,219,player_B
503,15,14616,734,210,player_B
504,15,14617,715,202,player_B
505,15,14618,695,194,player_B
506,15,14619,675,186,player_B
507,15,14620,654,189,player_B
508,15,14621,631,199,player_B
509,15,14622,609,208,player_B
510,15,14623,585,217,player_B
511,15,14624,562,225,player_B
512,15,14625,539,234,player_B
513,15,14626,516,241,player_B
514,15,14627,495,248,player_B
515,15,14628,473,255,player_B
516,15,14629,453,261,player_B
517,15,14630,438,267,player_B
518,15,14631,455,269,player_B
519,16,14647,837,259,player_A
520,16,14648,860,257,player_A
521,16,14649,881,253,player_A
522,16,14650,903,249,player_A
523,16,14651,925,245,player_A
524,16,14652,947,240,player_A
525,16,14653,968,236,player_A
526,16,14654,989,231,player_A
527,16,14655,1009,226,player_A
528,16,14656,1030,220,player_A
529,16,14657,1050,215,player_A
530,16,14658,1070,209,player_A
531,16,14659,1089,202,player_A
532,16,14660,1108,196,player_A
533,16,14661,1127,190,player_A
534,16,14662,1145,183,player_A
535,16,14663,1164,185,player_A
536,16,14664,1182,191,player_A
537,16,14665,1201,196,player_A
538,16,14666,1218,201,player_A
539,16,14667,1235,206,player_A
540,16,14668,1252,210,player_A
541,16,14669,1270,215,player_A
542,16,14670,1287,218,player_A
543,16,14671,1305,223,player_A
544,16,14672,1321,225,player_A
545,16,14673,1339,228,player_A
546,16,14674,1354,230,player_A
547,17,14766,949,344,player_B
548,17,14767,934,341,player_B
549,17,14769,904,333,player_B
550,17,14770,888,328,player_B
551,17,14771,874,324,player_B
552,17,14772,860,319,player_B
553,17,14773,845,313,player_B
554,17,14774,831,308,player_B
555,17,14775,818,302,player_B
556,17,14776,804,296,player_B
557,17,14777,791,290,player_B
558,17,14778,778,284,player_B
559,17,14779,765,277,player_B
560,17,14780,751,271,player_B
561,17,14781,739,264,player_B
562,17,14784,702,242,player_B
563,17,14785,690,234,player_B
564,17,14786,679,226,player_B
565,17,14787,668,219,player_B
566,17,14788,652,222,player_B
567,17,14789,637,230,player_B
568,17,14790,622,238,player_B
569,17,14791,607,246,player_B
570,17,14792,592,253,player_B
571,17,14793,577,261,player_B
572,17,14794,563,267,player_B
573,17,14795,547,274,player_B
574,17,14796,535,280,player_B
575,17,14797,532,285,player_B
576,17,14798,545,285,player_B
577,17,14799,562,288,player_B
578,18,14816,840,267,player_A
579,18,14817,857,264,player_A
580,18,14818,873,260,player_A
581,18,14819,889,255,player_A
582,18,14820,904,250,player_A
583,18,14821,921,245,player_A
584,18,14822,936,241,player_A
585,18,14823,953,234,player_A
586,18,14824,968,229,player_A
587,18,14825,984,223,player_A
588,18,14826,999,216,player_A
589,18,14827,1015,209,player_A
590,18,14828,1030,203,player_A
591,18,14829,1045,196,player_A
592,18,14830,1060,188,player_A
593,18,14831,1075,185,player_A
594,18,14832,1089,190,player_A
595,18,14833,1102,195,player_A
596,18,14834,1115,199,player_A
597,18,14835,1129,204,player_A
598,18,14836,1142,208,player_A
599,18,14837,1156,212,player_A
600,18,14838,1170,215,player_A
601,18,14839,1183,219,player_A
602,18,14840,1196,222,player_A
603,18,14841,1209,225,player_A
604,18,14842,1222,227,player_A
605,19,14938,959,273,player_B
606,19,14939,943,273,player_B
607,19,14940,925,272,player_B
608,19,14941,908,270,player_B
609,19,14942,892,268,player_B
610,19,14943,874,267,player_B
611,19,14944,859,264,player_B
612,19,14945,842,262,player_B
613,19,14946,826,259,player_B
614,19,14947,810,256,player_B
615,19,14948,795,253,player_B
616,19,14949,780,249,player_B
617,19,14950,765,246,player_B
618,19,14951,750,241,player_B
619,19,14952,736,238,player_B
620,19,14953,722,233,player_B
621,19,14956,680,219,player_B
622,19,14957,666,213,player_B
623,19,14958,653,207,player_B
624,19,14959,640,202,player_B
625,19,14960,625,205,player_B
626,19,14961,610,211,player_B
627,19,14962,595,217,player_B
628,19,14963,576,223,player_B
629,19,14964,561,229,player_B
630,19,14965,545,234,player_B
631,19,14966,530,239,player_B
632,19,14967,515,243,player_B
633,19,14968,501,248,player_B
634,19,14969,485,252,player_B
635,19,14970,469,255,player_B
636,19,14971,455,259,player_B
637,20,16421,909,202,player_B
638,20,16422,897,202,player_B
639,20,16423,886,201,player_B
640,20,16424,874,200,player_B
641,20,16425,864,199,player_B
642,20,16426,852,198,player_B
643,20,16427,840,196,player_B
644,20,16428,829,195,player_B
645,20,16429,818,193,player_B
646,20,16430,807,190,player_B
647,20,16431,796,188,player_B
648,20,16432,785,185,player_B
649,20,16433,775,183,player_B
650,20,16434,763,180,player_B
651,20,16435,753,177,player_B
652,20,16436,743,173,player_B
653,20,16437,733,169,player_B
654,20,16438,723,165,player_B
655,20,16439,712,161,player_B
656,20,16440,702,157,player_B
657,20,16441,692,153,player_B
658,20,16442,683,154,player_B
659,20,16443,676,159,player_B
660,20,16444,668,164,player_B
661,20,16445,660,169,player_B
662,20,16446,654,174,player_B
663,20,16447,646,178,player_B
664,20,16448,638,181,player_B
665,20,16449,631,185,player_B
666,20,16450,623,188,player_B
667,20,16451,616,191,player_B
668,20,16452,610,194,player_B
669,20,16453,602,196,player_B
670,21,16482,840,256,player_A
671,21,16483,860,257,player_A
672,21,16484,879,257,player_A
673,21,16485,898,257,player_A
674,21,16486,917,257,player_A
675,21,16487,935,256,player_A
676,21,16488,953,255,player_A
677,21,16489,971,254,player_A
678,21,16490,988,253,player_A
679,21,16491,1005,251,player_A
680,21,16492,1021,250,player_A
681,21,16493,1038,247,player_A
682,21,16494,1054,245,player_A
683,21,16495,1069,242,player_A
684,21,16496,1084,240,player_A
685,21,16497,1098,237,player_A
686,21,16503,1181,215,player_A
687,21,16504,1193,211,player_A
688,21,16505,1206,206,player_A
689,21,16506,1218,203,player_A
690,21,16507,1231,207,player_A
691,21,16508,1242,212,player_A
692,21,16509,1253,218,player_A
693,21,16510,1264,223,player_A
694,21,16511,1277,228,player_A
695,21,16512,1287,232,player_A
696,21,16513,1297,237,player_A
697,21,16514,1309,240,player_A
698,21,16515,1319,244,player_A
699,21,16516,1329,247,player_A
700,21,16517,1339,250,player_A
701,21,16518,1350,253,player_A
702,22,16541,1031,278,player_B
703,22,16542,994,275,player_B
704,22,16543,960,272,player_B
705,22,16544,921,267,player_B
706,22,16545,882,262,player_B
707,22,16546,844,255,player_B
708,22,16547,807,248,player_B
709,22,16548,769,241,player_B
710,22,16549,735,234,player_B
711,22,16550,695,224,player_B
712,22,16551,655,213,player_B
713,22,16552,620,204,player_B
714,22,16553,583,194,player_B
715,22,16554,546,182,player_B
716,22,16555,510,170,player_B
717,22,16556,473,158,player_B
718,22,16557,437,156,player_B
719,22,16558,388,164,player_B
720,22,16559,351,169,player_B
721,22,16560,310,174,player_B
722,22,16561,270,179,player_B
723,22,16562,226,183,player_B
724,22,16563,183,186,player_B
725,22,16564,150,189,player_B
726,22,16565,167,252,player_B
727,22,16566,150,199,player_B
728,22,16567,182,205,player_B
729,22,16568,216,210,player_B
730,22,16569,253,215,player_B
731,23,16587,811,224,player_A
732,23,16588,837,222,player_A
733,23,16589,862,218,player_A
734,23,16590,888,214,player_A
735,23,16591,909,210,player_A
736,23,16592,935,205,player_A
737,23,16593,958,201,player_A
738,23,16594,981,196,player_A
739,23,16595,1003,191,player_A
740,23,16596,1026,186,player_A
741,23,16597,1047,180,player_A
742,23,16598,1068,174,player_A
743,23,16599,1088,169,player_A
744,23,16600,1108,172,player_A
745,23,16601,1128,179,player_A
746,23,16602,1146,186,player_A
747,23,16603,1165,191,player_A
748,23,16604,1183,197,player_A
749,23,16605,1201,202,player_A
750,23,16606,1220,207,player_A
751,23,16607,1237,212,player_A
752,23,16608,1254,216,player_A
753,23,16609,1272,220,player_A
754,23,16610,1288,223,player_A
755,23,16611,1304,226,player_A
756,24,16655,971,282,player_B
757,24,16656,947,280,player_B
758,24,16657,921,277,player_B
759,24,16658,897,274,player_B
760,24,16659,871,270,player_B
761,24,16660,847,266,player_B
762,24,16661,823,261,player_B
763,24,16662,799,257,player_B
764,24,16663,775,252,player_B
765,24,16664,751,246,player_B
766,24,16665,729,241,player_B
767,24,16666,705,235,player_B
768,24,16667,681,228,player_B
769,24,16668,657,221,player_B
770,24,16669,633,214,player_B
771,24,16670,611,206,player_B
772,24,16674,522,174,player_B
773,24,16675,499,164,player_B
774,24,16676,477,155,player_B
775,24,16677,456,146,player_B
776,24,16678,435,142,player_B
777,24,16679,415,148,player_B
778,24,16680,394,155,player_B
779,24,16681,373,162,player_B
780,24,16682,353,168,player_B
781,24,16683,333,173,player_B
782,24,16684,313,179,player_B
783,24,16685,292,184,player_B
784,24,16686,271,189,player_B
785,24,16687,250,194,player_B
786,24,16688,231,198,player_B
787,24,16689,211,202,player_B
788,25,17498,871,262,player_A
789,25,17499,879,260,player_A
790,25,17500,885,260,player_A
791,25,17501,892,258,player_A
792,25,17502,899,256,player_A
793,25,17503,906,255,player_A
794,25,17504,913,253,player_A
795,25,17505,919,250,player_A
796,25,17506,926,248,player_A
797,25,17507,933,245,player_A
798,25,17508,939,242,player_A
799,25,17509,946,239,player_A
800,25,17510,952,235,player_A
801,25,17511,959,231,player_A
802,25,17512,966,227,player_A
803,25,17513,972,223,player_A
804,25,17521,1024,182,player_A
805,25,17522,1030,175,player_A
806,25,17523,1036,169,player_A
807,25,17524,1042,164,player_A
808,25,17525,1046,169,player_A
809,25,17526,1050,175,player_A
810,25,17527,1053,179,player_A
811,25,17528,1057,185,player_A
812,25,17529,1060,190,player_A
813,25,17530,1064,194,player_A
814,25,17531,1068,198,player_A
815,25,17532,1071,202,player_A
816,25,17533,1075,206,player_A
817,25,17534,1078,211,player_A
818,25,17535,1082,213,player_A
819,25,17536,1085,216,player_A
820,26,18299,932,236,player_B
821,26,18300,918,236,player_B
822,26,18301,905,235,player_B
823,26,18302,893,235,player_B
824,26,18303,878,234,player_B
825,26,18304,864,233,player_B
826,26,18305,852,232,player_B
827,26,18306,838,231,player_B
828,26,18307,825,229,player_B
829,26,18308,813,227,player_B
830,26,18309,799,225,player_B
831,26,18310,787,222,player_B
832,26,18311,774,220,player_B
833,26,18312,761,218,player_B
834,26,18313,748,214,player_B
835,26,18314,736,211,player_B
836,26,18322,639,176,player_B
837,26,18323,627,171,player_B
838,26,18324,615,164,player_B
839,26,18325,604,159,player_B
840,26,18326,594,158,player_B
841,26,18327,584,163,player_B
842,26,18328,576,168,player_B
843,26,18329,567,172,player_B
844,26,18330,559,177,player_B
845,26,18331,550,181,player_B
846,26,18332,542,185,player_B
847,26,18333,533,188,player_B
848,26,18334,524,192,player_B
849,26,18335,516,195,player_B
850,26,18336,508,198,player_B
851,26,18337,504,201,player_B
852,27,18370,853,234,player_A
853,27,18371,864,232,player_A
854,27,18372,873,229,player_A
855,27,18373,884,225,player_A
856,27,18374,895,222,player_A
857,27,18375,904,218,player_A
858,27,18376,914,214,player_A
859,27,18377,924,209,player_A
860,27,18378,935,205,player_A
861,27,18379,945,200,player_A
862,27,18380,955,195,player_A
863,27,18381,965,190,player_A
864,27,18382,974,185,player_A
865,27,18383,984,179,player_A
866,27,18384,994,174,player_A
867,27,18385,1004,167,player_A
868,27,18388,1033,148,player_A
869,27,18389,1043,142,player_A
870,27,18390,1052,135,player_A
871,27,18391,1062,129,player_A
872,27,18392,1069,134,player_A
873,27,18393,1075,139,player_A
874,27,18394,1082,145,player_A
875,27,18395,1088,151,player_A
876,27,18396,1094,155,player_A
877,27,18397,1101,161,player_A
878,27,18398,1108,165,player_A
879,27,18399,1114,170,player_A
880,27,18400,1120,173,player_A
881,27,18401,1126,177,player_A
882,27,18402,1133,180,player_A
883,27,18403,1139,185,player_A
884,28,18456,913,218,player_B
885,28,18457,902,217,player_B
886,28,18458,892,215,player_B
887,28,18459,881,212,player_B
888,28,18460,870,210,player_B
889,28,18461,859,208,player_B
890,28,18462,849,205,player_B
891,28,18463,838,202,player_B
892,28,18464,829,199,player_B
893,28,18465,819,196,player_B
894,28,18466,809,192,player_B
895,28,18467,799,189,player_B
896,28,18468,790,186,player_B
897,28,18469,781,182,player_B
898,28,18470,771,178,player_B
899,28,18471,763,175,player_B
900,28,18472,756,180,player_B
901,28,18473,749,186,player_B
902,28,18474,742,191,player_B
903,28,18475,736,196,player_B
904,28,18476,729,201,player_B
905,28,18477,723,206,player_B
906,28,18478,717,210,player_B
907,28,18479,710,214,player_B
908,28,18480,705,218,player_B
909,28,18481,698,222,player_B
910,28,18482,693,225,player_B
911,28,18483,686,228,player_B
912,29,18530,866,262,player_A
